title,link,date_raw,image,category
Журналист Tengrinews.kz стал победителем премии “Үркер – 2025“,https://tengrinews.kz/internet/jurnalist-tengrinewskz-stal-pobeditelem-premii-urker-2025-585127/,07 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_585127/thumb_xts/photo_527446.jpg.webp,internet
Илон Маск анонсировал появление нового мессенджера,https://tengrinews.kz/internet/ilon-mask-anonsiroval-poyavlenie-novogo-messendjera-584603/,01 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_584603/thumb_xts/photo_526872.jpg.webp,internet
"Половина интернета “легла”: сбой затронул Zoom, Roblox, Canva",https://tengrinews.kz/internet/polovina-interneta-legla-sboy-zatronul-zoom-roblox-canva-583622/,20 октября 2025,https://static.tengrinews.kz/userdata/news/2025/news_583622/thumb_xts/photo_525804.jpg.webp,internet
Блокировка не помогла: WhatsApp остался самым популярным в России,https://tengrinews.kz/internet/blokirovka-pomogla-whatsapp-ostalsya-samyim-populyarnyim-581277/,22 сентября 2025,https://static.tengrinews.kz/userdata/news/2025/news_581277/thumb_xts/photo_523250.jpg.webp,internet
"Unico Play запускается: национальный стриминг с казахскими сериалами, уникальным контентом, ИИ и мировой классикой",https://tengrinews.kz/internet/unico-play-zapuskaetsya-natsionalnyiy-striming-kazahskimi-580570/,12 сентября 2025,https://static.tengrinews.kz/userdata/news/2025/news_580570/thumb_xts/photo_522484.jpg.webp,internet
Беседа с ChatGPT как улика: разработчики признались в сотрудничестве с силовиками,https://tengrinews.kz/internet/beseda-chatgpt-ulika-razrabotchiki-priznalis-sotrudnichestve-579258/,28 августа 2025,https://static.tengrinews.kz/userdata/news/2025/news_579258/thumb_xts/photo_521008.png.webp,internet
Цукерберг переманил в Meta 50 ИИ-специалистов,https://tengrinews.kz/internet/tsukerberg-peremanil-v-meta-50-ii-spetsialistov-578677/,21 августа 2025,https://static.tengrinews.kz/userdata/news/2025/news_578677/thumb_xts/photo_520357.jpg.webp,internet
Россия ограничила звонки в WhatsApp: что ответил мессенджер,https://tengrinews.kz/internet/rossiya-ogranichila-zvonki-whatsapp-otvetil-messendjer-578075/,14 августа 2025,https://static.tengrinews.kz/userdata/news/2025/news_578075/thumb_xts/photo_519683.jpg.webp,internet
Закон об ИИ: кто будет отвечать за возможную утечку данных казахстанцев,https://tengrinews.kz/internet/zakon-ii-budet-otvechat-vozmojnuyu-utechku-dannyih-564022/,03 марта 2025,https://static.tengrinews.kz/userdata/news/2025/news_564022/thumb_xts/photo_504089.jpeg.webp,internet
"Прощай, Skype: Microsoft решил отключить легендарный мессенджер",https://tengrinews.kz/internet/proschay-skype-microsoft-reshil-otklyuchit-legendarnyiy-563838/,28 февраля 2025,https://static.tengrinews.kz/userdata/news/2025/news_563838/thumb_xts/photo_503885.jpeg.webp,internet
Что нейросеть думает о Токаеве и казахстанцах,https://tengrinews.kz/internet/chto-neiroset-dumaet-o-tokaeve-i-kazahstantsah-563756/,27 февраля 2025,https://tengrinews.kz/userdata/news/2025/news_563756/thumb_xts/photo_503797.jpg.webp,internet
Спецслужбы США читают переписки в WhatsApp - Цукерберг,https://tengrinews.kz/internet/spetsslujbyi-ssha-chitayut-perepiski-v-whatsapp-tsukerberg-559421/,11 января 2025,https://static.tengrinews.kz/userdata/news/2025/news_559421/thumb_xts/photo_499018.jpeg.webp,internet
Обновите приложение Tengrinews.kz и общайтесь удобнее: вот что еще мы приготовили,https://tengrinews.kz/internet/obnovite-prilojenie-tengrinewskz-obschaytes-udobnee-chto-myi-557710/,30 декабря 2024,https://static.tengrinews.kz/userdata/news/2024/news_557710/thumb_xts/photo_497178.jpeg.webp,internet
